ticker,avg_price2013,avg_price2014,avg_price2015,avg_price2016,avg_price2017,avg_price2018,avg_price2019,current_price
aal,17.146521670477732,36.75562608809698,42.94021318829249,36.71619934505887,46.10099926222843,41.89840701281787,30.57199682508196,11
aap,83.696200204274,128.9108223385281,161.3703730144198,153.55696432931083,121.23493231055271,138.04353180539562,157.4060871790326,147
aapl,59.77199221414233,83.65277064792694,110.6966629331074,98.46212468828473,144.38417411895387,184.07218519719947,205.9688250829303,370
abbv,32.361063737717885,42.51258311195979,49.072085683307954,49.75734768216572,64.06973930754035,85.80636964471216,72.34037261539035,97
abc,50.82905085124667,67.69075009179494,95.5130130828373,77.41941442943755,81.51530769621708,85.81432293895706,81.27961903526669,103
abmd,20.742976200012933,26.958730114830864,73.67928591228667,105.08424598451644,147.18075722622206,340.09549862075136,248.76368985857283,292
abt,30.865045933496383,36.17746131382291,41.761089552016486,37.38903527032761,45.955035722588164,61.982923591279416,79.0690249791221,98
acn,64.92663347153436,71.59610914805579,88.62148808676099,104.96580002799867,122.55369887029032,154.28460109756287,178.47214992462642,221
adbe,46.803412634228906,67.45305560884022,80.96781745789544,97.32503951541962,143.9961358180559,235.03744999251043,279.322818150596,430
adi,39.25517802768283,44.57307537018307,53.16888845534552,55.27486776927161,76.8499978662012,88.2089245860795,106.45997495499869,112
adm,28.955051868680922,38.64268860741267,39.24191898012918,35.78913116455078,38.76977274617351,42.74612402441017,40.197535923549104,42
adp,52.10991673242478,63.2456900581481,75.35103016807919,81.53411974225726,99.4906297052999,125.95217175122751,156.0884618910532,145
adsk,39.15007925790454,53.830000044807555,56.12353173513261,61.7251984278361,102.46063767391372,132.0647014906682,158.89317506457132,232
aee,27.227123215084983,32.86333636632041,35.74269344693138,43.55404225606767,52.431184578701796,57.45751609650266,72.13589937724764,79
aep,35.8723869929238,42.967058181762695,47.7277823554145,55.980778315710644,63.435902097785615,65.85740050661612,84.75505220322381,88
aes,10.141848617129856,11.39778433148823,9.819933683153183,9.685832965941657,9.958215789490962,12.110262228673198,16.41648783759465,15
afl,24.56352831068493,26.647491371820845,27.477546850840252,30.956466175261,36.45480063237042,42.844800120805836,50.248390772986035,36
aig,38.63428028046139,46.07208666725764,51.81582092103504,51.51016303471157,57.35588581343571,49.29027587769041,48.51636114574614,31
aiv,22.096028963724773,25.555506411052885,31.288353874569847,35.39328822635469,38.57197432499008,38.06242022571336,48.71944024827745,35
aiz,44.22559247698103,58.041133683825294,63.76760444943867,76.54087694864424,92.31954108006451,93.08626325386929,108.71008639865451,106
ajg,35.243521334632995,39.184134468199716,39.96615818568638,42.09982743338933,54.773328545558975,67.59694656432862,83.99443054199219,103
akam,43.61642857203408,57.84654753548758,68.47218247065469,55.17706336672344,55.37462138749689,71.22609573911386,79.9984525196136,111
alb,56.756714624071876,57.90869400993226,49.229813348679315,69.46694799453493,109.59426387467707,95.43934686060446,70.87500358763195,87
algn,40.848134827992276,53.82023811340332,59.99396829756479,81.45523814549522,158.97418367910194,294.49426245214454,249.3870631626674,298
alk,26.9994705215333,42.65178235371908,65.42309147971017,66.75434133741591,79.15240414684037,62.05049019315803,62.31489514547681,35
all,43.289207413083034,52.96963220929343,59.83528158399794,62.35205441429501,83.2802557470314,90.97526401352597,98.53674092368475,94
alle,41.363830693562825,49.19634461781335,58.22477956802126,63.61096581958589,76.04453604344828,81.79725118082358,100.10942637731158,101
alxn,104.98742043025909,166.7313098604717,177.64789690290178,134.85746041555254,125.72617546780651,120.00250988842481,118.11087317693801,101
amat,13.524886744362968,18.930985121499923,18.055704483910212,23.276542410017953,42.51077268228113,44.74444467612947,45.56603103970725,60
amcr,7.440289610908145,7.698519576163519,8.200201375143868,9.15256831381056,10.16427110770784,9.434456323722443,9.93927506416563,10
amd,3.3785714393570307,3.662063511591109,2.331746020014324,5.254920634485426,12.411673283671952,17.214501962243798,29.941071457333035,69
ame,42.08008313557458,49.632820356459845,51.58447105165512,46.370571151612296,59.90627469674524,73.46457172105036,85.63864211430625,92
amgn,87.3811804453532,112.29462508549766,138.0366932399689,139.37844088720897,156.69493455620875,177.62217584739167,190.4255535186283,247
amp,71.26177727230011,101.11258085947188,106.86464579143221,87.57417648557633,127.61174260477621,135.6579422969742,137.52923732333713,155
amt,67.14309121691991,80.56028547741118,86.74983239552331,97.73128022087946,122.59878710256629,140.12106554251744,199.69910709441655,256
amzn,298.0315878126356,332.55103265671505,478.13829512823196,699.5231348673502,968.1670116409363,1641.7261758629545,1789.189206077939,3008
anet,,73.80475845336915,70.93924593547034,74.16349220275879,159.35557756765905,258.2063735414786,247.03809489901104,236
anss,80.18638892400833,78.37833328852578,89.44694449409606,90.02349208650135,121.36486047387598,165.21808767128752,202.13789682539684,293
antm,70.55940319242931,98.98991073123993,137.0998982929048,126.2308726840549,178.84007597539528,244.27143258022596,274.0592321971106,270
aon,62.46145399789962,80.94662121364048,91.33337692987351,100.88259597051712,126.84869539785196,142.6937094456646,182.27596204243008,207
aos,18.882500485768393,22.75244746889387,31.918893700554257,40.22554116778903,52.55493355557263,55.91710203862285,47.408811009119425,51
apa,71.46629621112157,74.841233253479,48.14428595891074,48.47019490741548,44.118274217582794,38.55538365185498,26.657803368946862,14
apd,74.55965057251946,99.01603632124643,114.5342375134665,119.11020627097479,135.8048666539895,154.4047482555131,202.86934492323132,291
aph,36.00076907778543,45.70061430855403,52.48763067760165,56.999192358955504,74.93345341169501,87.08743596171952,93.98109914386083,104
